symbol
AAPL
MSFT
GOOGL
AMZN
META
NVDA
TSLA
PEP
COST
ADBE
INTC
CSCO
AVGO
CMCSA
TXN
QCOM
AMGN
HON
SBUX
AMD
GILD
INTU
BKNG
ISRG
MDLZ
ADI
FISV
REGN
VRTX
MU
LRCX
ASML
ADP
ZM
NXPI
PAYX
EXC
KDP
XEL
WBA
CTSH
PCAR
BIIB
IDXX
CDNS
MNST
FAST
DLTR
EA
MAR
VRSK
MCHP
SIRI
WBD
TEAM
CRWD
PANW
ZS
FTNT
ANSS
ENPH
OKTA
ROST
CHTR
ORLY
CPRT
TTD
EBAY
VRSN
BKR
KHC
DDOG
DOCU
LCID
MRVL
PDD
ABNB
BIDU
JD
MELI
NTES
CTAS
WDAY
SGEN
ALGN
ILMN
CEG
AEP
SPLK
VERI
MDB
GEHC
MTCH
CSGP
SNPS
PAYC
TTWO
FOXA
FOX
ON
PTON
